Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,0,71,0,4,3,28,529
ODS,23,21,0,1,1,0,28,529
Piráti,22,20,0,0,1,1,28,529
SPD,19,17,0,0,0,2,28,529
ČSSD,15,0,8,0,6,1,28,529
KSČM,15,0,12,0,3,0,28,529
KDU-ČSL,10,9,0,0,1,0,28,529
TOP09,7,4,0,0,1,2,28,529
STAN,6,5,0,0,1,0,28,529
Nezařaz,5,5,0,0,0,0,28,529
Celkem,200,81,91,1,18,9,28,529
