Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,N,34,29
Andrej Babiš,ANO,N,34,29
Andrea Babišová,ANO,N,34,29
Ondřej Babka,ANO,N,34,29
Margita Balaštíková,ANO,N,34,29
Josef Bělica,ANO,N,34,29
Stanislav Berkovec,ANO,N,34,29
Jiří Bláha,ANO,N,34,29
Richard Brabec,ANO,N,34,29
Milan Brázdil,ANO,N,34,29
Andrea Brzobohatá,ANO,N,34,29
Jaroslav Bžoch,ANO,N,34,29
Monika Červíčková,ANO,N,34,29
Klára Dostálová,ANO,N,34,29
Lenka Dražilová,ANO,N,34,29
Jaroslav Faltýnek,ANO,N,34,29
Kamal Farhan,ANO,N,34,29
Milan Feranec,ANO,N,34,29
Eva Fialová,ANO,N,34,29
Stanislav Fridrich,ANO,N,34,29
Josef Hájek,ANO,N,34,29
Milan Hnilička,ANO,N,34,29
Ivan Jáč,ANO,N,34,29
Miloslav Janulík,ANO,N,34,29
Aleš Juchelka,ANO,N,34,29
Pavel Juříček,ANO,M,34,29
Iva Kalátová,ANO,N,34,29
Adam Kalous,ANO,N,34,29
David Kasal,ANO,N,34,29
Tomáš Kohoutek,ANO,N,34,29
Martin Kolovratník,ANO,N,34,29
Barbora Kořanová,ANO,N,34,29
Josef Kott,ANO,N,34,29
Robert Králíček,ANO,Z,34,29
Roman Kubíček,ANO,N,34,29
Jan Kubík,ANO,N,34,29
Jaroslav Kytýr,ANO,N,34,29
Taťána Malá,ANO,N,34,29
Přemysl Mališ,ANO,N,34,29
Jiří Mašek,ANO,N,34,29
Eva Matyášová,ANO,N,34,29
Marcela Melková,ANO,N,34,29
Jana Mračková Vildumetzová,ANO,N,34,29
Patrik Nacher,ANO,Z,34,29
Marek Novák,ANO,N,34,29
Monika Oborná,ANO,N,34,29
Ladislav Okleštěk,ANO,N,34,29
Zuzana Ožanová,ANO,N,34,29
Jana Pastuchová,ANO,N,34,29
František Petrtýl,ANO,N,34,29
Pavel Plzák,ANO,N,34,29
Milan Pour,ANO,N,34,29
David Pražák,ANO,N,34,29
Věra Procházková,ANO,N,34,29
Pavel Pustějovský,ANO,N,34,29
Karel Rais,ANO,N,34,29
