Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,0,72,0,4,2,39,265
ODS,23,23,0,0,0,0,39,265
Piráti,22,21,0,0,0,1,39,265
SPD,19,14,0,2,0,3,39,265
ČSSD,15,0,6,2,6,1,39,265
KSČM,15,12,0,0,2,1,39,265
KDU-ČSL,10,7,0,2,0,1,39,265
TOP09,7,5,0,0,0,2,39,265
STAN,6,5,0,0,0,1,39,265
Nezařaz,5,3,0,0,0,2,39,265
Celkem,200,90,78,6,12,14,39,265
