Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,55,0,6,6,11,38,106
ODS,23,12,0,7,0,4,38,106
Piráti,22,17,0,1,0,4,38,106
SPD,19,13,0,3,0,3,38,106
ČSSD,15,6,1,0,1,7,38,106
KSČM,15,2,0,6,6,1,38,106
KDU-ČSL,10,5,0,1,0,4,38,106
TOP09,7,3,0,1,0,3,38,106
STAN,6,4,0,1,0,1,38,106
Nezařaz,5,1,0,2,1,1,38,106
Celkem,200,118,1,28,14,39,38,106
