Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,N,34,43
Andrej Babiš,ANO,N,34,43
Andrea Babišová,ANO,N,34,43
Ondřej Babka,ANO,N,34,43
Margita Balaštíková,ANO,N,34,43
Josef Bělica,ANO,N,34,43
Stanislav Berkovec,ANO,N,34,43
Jiří Bláha,ANO,N,34,43
Richard Brabec,ANO,N,34,43
Milan Brázdil,ANO,N,34,43
Andrea Brzobohatá,ANO,N,34,43
Jaroslav Bžoch,ANO,N,34,43
Monika Červíčková,ANO,N,34,43
Klára Dostálová,ANO,N,34,43
Lenka Dražilová,ANO,N,34,43
Jaroslav Faltýnek,ANO,N,34,43
Kamal Farhan,ANO,N,34,43
Milan Feranec,ANO,N,34,43
Eva Fialová,ANO,N,34,43
Stanislav Fridrich,ANO,N,34,43
Josef Hájek,ANO,N,34,43
Milan Hnilička,ANO,N,34,43
Ivan Jáč,ANO,N,34,43
Miloslav Janulík,ANO,N,34,43
Aleš Juchelka,ANO,N,34,43
Pavel Juříček,ANO,M,34,43
Iva Kalátová,ANO,N,34,43
Adam Kalous,ANO,N,34,43
David Kasal,ANO,N,34,43
Tomáš Kohoutek,ANO,N,34,43
Martin Kolovratník,ANO,N,34,43
Barbora Kořanová,ANO,N,34,43
Josef Kott,ANO,N,34,43
Robert Králíček,ANO,N,34,43
Roman Kubíček,ANO,N,34,43
Jan Kubík,ANO,N,34,43
Jaroslav Kytýr,ANO,N,34,43
Taťána Malá,ANO,N,34,43
Přemysl Mališ,ANO,N,34,43
Jiří Mašek,ANO,N,34,43
Eva Matyášová,ANO,N,34,43
Marcela Melková,ANO,N,34,43
Jana Mračková Vildumetzová,ANO,N,34,43
Patrik Nacher,ANO,N,34,43
Marek Novák,ANO,N,34,43
Monika Oborná,ANO,N,34,43
Ladislav Okleštěk,ANO,N,34,43
Zuzana Ožanová,ANO,N,34,43
Jana Pastuchová,ANO,N,34,43
František Petrtýl,ANO,N,34,43
Pavel Plzák,ANO,N,34,43
Milan Pour,ANO,N,34,43
David Pražák,ANO,N,34,43
Věra Procházková,ANO,N,34,43
Pavel Pustějovský,ANO,N,34,43
Karel Rais,ANO,N,34,43
Michal Ratiborský,ANO,N,34,43
Jan Richter,ANO,N,34,43
Miloslava Rutová,ANO,N,34,43
Pavel Růžička,ANO,N,34,43
Jan Řehounek,ANO,Z,34,43
Petr Sadovský,ANO,N,34,43
Jan Schiller,ANO,N,34,43
Pavel Staněk,ANO,Z,34,43
Jiří Strýček,ANO,N,34,43
Karla Šlechtová,ANO,N,34,43
Julius Špičák,ANO,N,34,43
David Štolpa,ANO,N,34,43
Karel Tureček,ANO,N,34,43
Helena Válková,ANO,N,34,43
Petr Venhoda,ANO,N,34,43
Adam Vojtěch,ANO,N,34,43
Jan Volný,ANO,M,34,43
Radek Vondráček,ANO,M,34,43
Ivo Vondrák,ANO,N,34,43
Petr Vrána,ANO,N,34,43
Rostislav Vyzula,ANO,M,34,43
Radek Zlesák,ANO,N,34,43
Ivan Adamec,ODS,A,34,43
Jan Bauer,ODS,A,34,43
Martin Baxa,ODS,A,34,43
Petr Beitl,ODS,A,34,43
Marek Benda,ODS,A,34,43
Petr Bendl,ODS,A,34,43
Stanislav Blaha,ODS,A,34,43
Pavel Blažek,ODS,A,34,43
Jana Černochová,ODS,A,34,43
Petr Fiala,ODS,A,34,43
