Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,A,39,119
Andrej Babiš,ANO,A,39,119
Andrea Babišová,ANO,A,39,119
Ondřej Babka,ANO,A,39,119
Margita Balaštíková,ANO,A,39,119
Josef Bělica,ANO,A,39,119
Stanislav Berkovec,ANO,A,39,119
Jiří Bláha,ANO,A,39,119
Richard Brabec,ANO,A,39,119
Milan Brázdil,ANO,A,39,119
Andrea Brzobohatá,ANO,A,39,119
Jaroslav Bžoch,ANO,A,39,119
Monika Červíčková,ANO,A,39,119
Klára Dostálová,ANO,0,39,119
Lenka Dražilová,ANO,A,39,119
Jaroslav Faltýnek,ANO,A,39,119
Kamal Farhan,ANO,A,39,119
Milan Feranec,ANO,A,39,119
Eva Fialová,ANO,M,39,119
Stanislav Fridrich,ANO,A,39,119
Josef Hájek,ANO,A,39,119
Milan Hnilička,ANO,A,39,119
Ivan Jáč,ANO,A,39,119
Miloslav Janulík,ANO,A,39,119
Aleš Juchelka,ANO,A,39,119
Pavel Juříček,ANO,A,39,119
Iva Kalátová,ANO,A,39,119
Adam Kalous,ANO,A,39,119
David Kasal,ANO,0,39,119
Tomáš Kohoutek,ANO,A,39,119
Martin Kolovratník,ANO,A,39,119
Barbora Kořanová,ANO,A,39,119
Josef Kott,ANO,A,39,119
Robert Králíček,ANO,A,39,119
Roman Kubíček,ANO,A,39,119
Jan Kubík,ANO,A,39,119
Jaroslav Kytýr,ANO,M,39,119
Taťána Malá,ANO,A,39,119
Přemysl Mališ,ANO,A,39,119
Jiří Mašek,ANO,A,39,119
Eva Matyášová,ANO,A,39,119
Marcela Melková,ANO,A,39,119
Jana Mračková Vildumetzová,ANO,A,39,119
Patrik Nacher,ANO,M,39,119
Marek Novák,ANO,A,39,119
Monika Oborná,ANO,A,39,119
Ladislav Okleštěk,ANO,M,39,119
Zuzana Ožanová,ANO,A,39,119
Jana Pastuchová,ANO,A,39,119
František Petrtýl,ANO,A,39,119
Pavel Plzák,ANO,A,39,119
