Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,N,29,139
Andrej Babiš,ANO,M,29,139
Andrea Babišová,ANO,N,29,139
Margita Balaštíková,ANO,N,29,139
Josef Bělica,ANO,N,29,139
Stanislav Berkovec,ANO,N,29,139
Jiří Bláha,ANO,N,29,139
Richard Brabec,ANO,N,29,139
Milan Brázdil,ANO,N,29,139
Andrea Brzobohatá,ANO,N,29,139
Jaroslav Bžoch,ANO,N,29,139
Monika Červíčková,ANO,N,29,139
Klára Dostálová,ANO,M,29,139
Lenka Dražilová,ANO,N,29,139
Jaroslav Faltýnek,ANO,N,29,139
Kamal Farhan,ANO,N,29,139
Milan Feranec,ANO,N,29,139
Eva Fialová,ANO,N,29,139
Stanislav Fridrich,ANO,N,29,139
Josef Hájek,ANO,N,29,139
Milan Hnilička,ANO,N,29,139
Ivan Jáč,ANO,N,29,139
Miloslav Janulík,ANO,N,29,139
Aleš Juchelka,ANO,N,29,139
Pavel Juříček,ANO,M,29,139
Iva Kalátová,ANO,N,29,139
Adam Kalous,ANO,N,29,139
David Kasal,ANO,N,29,139
Tomáš Kohoutek,ANO,N,29,139
Martin Kolovratník,ANO,N,29,139
Barbora Kořanová,ANO,N,29,139
Josef Kott,ANO,N,29,139
Robert Králíček,ANO,N,29,139
Roman Kubíček,ANO,N,29,139
Jan Kubík,ANO,N,29,139
Jaroslav Kytýr,ANO,N,29,139
Taťána Malá,ANO,N,29,139
Přemysl Mališ,ANO,N,29,139
Jiří Mašek,ANO,N,29,139
Eva Matyášová,ANO,N,29,139
Radka Maxová,ANO,N,29,139
Marcela Melková,ANO,N,29,139
Jana Mračková Vildumetzová,ANO,N,29,139
Patrik Nacher,ANO,N,29,139
Marek Novák,ANO,N,29,139
Monika Oborná,ANO,N,29,139
Ladislav Okleštěk,ANO,N,29,139
Zuzana Ožanová,ANO,M,29,139
Jana Pastuchová,ANO,N,29,139
František Petrtýl,ANO,N,29,139
Pavel Plzák,ANO,N,29,139
Milan Pour,ANO,N,29,139
David Pražák,ANO,N,29,139
Věra Procházková,ANO,N,29,139
Pavel Pustějovský,ANO,M,29,139
Karel Rais,ANO,N,29,139
Michal Ratiborský,ANO,N,29,139
Jan Richter,ANO,N,29,139
Miloslava Rutová,ANO,N,29,139
Pavel Růžička,ANO,N,29,139
Jan Řehounek,ANO,N,29,139
Petr Sadovský,ANO,N,29,139
Jan Schiller,ANO,N,29,139
Pavel Staněk,ANO,Z,29,139
Jiří Strýček,ANO,N,29,139
Karla Šlechtová,ANO,N,29,139
Julius Špičák,ANO,N,29,139
David Štolpa,ANO,N,29,139
Karel Tureček,ANO,N,29,139
Helena Válková,ANO,N,29,139
Petr Venhoda,ANO,Z,29,139
Adam Vojtěch,ANO,N,29,139
Jan Volný,ANO,N,29,139
Radek Vondráček,ANO,M,29,139
Ivo Vondrák,ANO,N,29,139
Petr Vrána,ANO,Z,29,139
Rostislav Vyzula,ANO,N,29,139
Radek Zlesák,ANO,N,29,139
Ivan Adamec,ODS,A,29,139
Jan Bauer,ODS,M,29,139
Martin Baxa,ODS,A,29,139
Petr Beitl,ODS,A,29,139
Marek Benda,ODS,A,29,139
Stanislav Blaha,ODS,A,29,139
Pavel Blažek,ODS,A,29,139
Jana Černochová,ODS,A,29,139
Petr Fiala,ODS,A,29,139
Jakub Janda,ODS,A,29,139
Karel Krejza,ODS,A,29,139
Martin Kupka,ODS,A,29,139
Jaroslav Martinů,ODS,A,29,139
Ilona Mauritzová,ODS,A,29,139
Vojtěch Munzar,ODS,A,29,139
Miroslava Němcová,ODS,A,29,139
Jan Skopeček,ODS,A,29,139
Zbyněk Stanjura,ODS,A,29,139
Bohuslav Svoboda,ODS,A,29,139
Jiří Ventruba,ODS,A,29,139
Veronika Vrecionová,ODS,A,29,139
Jan Zahradník,ODS,A,29,139
Pavel Žáček,ODS,A,29,139
Dana Balcarová,Piráti,A,29,139
Lukáš Bartoň,Piráti,A,29,139
Ivan Bartoš,Piráti,A,29,139
Lukáš Černohorský,Piráti,A,29,139
František Elfmark,Piráti,A,29,139
Mikuláš Ferjenčík,Piráti,A,29,139
Radek Holomčík,Piráti,A,29,139
Martin Jiránek,Piráti,A,29,139
Lukáš Kolářík,Piráti,A,29,139
František Kopřiva,Piráti,A,29,139
Lenka Kozlová,Piráti,A,29,139
Jan Lipavský,Piráti,A,29,139
Tomáš Martínek,Piráti,A,29,139
Jakub Michálek,Piráti,A,29,139
Mikuláš Peksa,Piráti,M,29,139
Vojtěch Pikal,Piráti,A,29,139
Ondřej Polanský,Piráti,A,29,139
Jan Pošvář,Piráti,A,29,139
Ondřej Profant,Piráti,A,29,139
Olga Richterová,Piráti,A,29,139
Petr Třešňák,Piráti,A,29,139
Tomáš Vymazal,Piráti,A,29,139
Jaroslav Dvořák,SPD,A,29,139
Radim Fiala,SPD,M,29,139
Jaroslav Holík,SPD,A,29,139
Jan Hrnčíř,SPD,A,29,139
Tereza Hyťhová,SPD,A,29,139
Monika Jarošová,SPD,A,29,139
Pavel Jelínek,SPD,A,29,139
Jiří Kobza,SPD,M,29,139
Jiří Kohoutek,SPD,A,29,139
Radek Koten,SPD,M,29,139
Jana Levová,SPD,A,29,139
Karla Maříková,SPD,A,29,139
Tomio Okamura,SPD,M,29,139
Zdeněk Podal,SPD,A,29,139
Miloslav Rozner,SPD,A,29,139
Radek Rozvoral,SPD,A,29,139
Lucie Šafránková,SPD,A,29,139
Lubomír Španěl,SPD,A,29,139
Radovan Vích,SPD,A,29,139
Jiří Běhounek,ČSSD,Z,29,139
Jan Birke,ČSSD,N,29,139
Petr Dolínek,ČSSD,Z,29,139
Jaroslav Foldyna,ČSSD,N,29,139
Alena Gajdůšková,ČSSD,N,29,139
Jan Hamáček,ČSSD,Z,29,139
Tomáš Hanzel,ČSSD,N,29,139
Jan Chvojka,ČSSD,N,29,139
Roman Onderka,ČSSD,N,29,139
Roman Sklenák,ČSSD,N,29,139
Antonín Staněk,ČSSD,N,29,139
Kateřina Valachová,ČSSD,N,29,139
Ondřej Veselý,ČSSD,Z,29,139
Václav Votava,ČSSD,N,29,139
Lubomír Zaorálek,ČSSD,N,29,139
Hana Aulická Jírovcová,KSČM,N,29,139
Alexander Černý,KSČM,N,29,139
Jiří Dolejš,KSČM,Z,29,139
Vojtěch Filip,KSČM,N,29,139
Miroslav Grebeníček,KSČM,Z,29,139
Stanislav Grospič,KSČM,N,29,139
Pavel Kováčik,KSČM,N,29,139
Leo Luzar,KSČM,M,29,139
Květa Matušovská,KSČM,Z,29,139
Zdeněk Ondráček,KSČM,N,29,139
Daniel Pawlas,KSČM,N,29,139
Marie Pěnčíková,KSČM,N,29,139
Ivo Pojezný,KSČM,N,29,139
Jiří Valenta,KSČM,A,29,139
Miloslava Vostrá,KSČM,N,29,139
Jan Bartošek,KDU-ČSL,A,29,139
Pavel Bělobrádek,KDU-ČSL,A,29,139
Ondřej Benešík,KDU-ČSL,A,29,139
Jan Čižinský,KDU-ČSL,A,29,139
Pavla Golasowská,KDU-ČSL,A,29,139
Stanislav Juránek,KDU-ČSL,A,29,139
Marian Jurečka,KDU-ČSL,A,29,139
Vít Kaňkovský,KDU-ČSL,A,29,139
Jiří Mihola,KDU-ČSL,A,29,139
Marek Výborný,KDU-ČSL,M,29,139
Dominik Feri,TOP09,A,29,139
Miroslav Kalousek,TOP09,Z,29,139
Helena Langšádlová,TOP09,Z,29,139
Markéta Pekarová Adamová,TOP09,A,29,139
Karel Schwarzenberg,TOP09,A,29,139
František Vácha,TOP09,A,29,139
Vlastimil Válek,TOP09,A,29,139
Jan Farský,STAN,A,29,139
Petr Gazdík,STAN,A,29,139
Věra Kovářová,STAN,A,29,139
Jana Krutáková,STAN,A,29,139
Petr Pávek,STAN,M,29,139
Vít Rakušan,STAN,A,29,139
Marian Bojko,Nezařaz,M,29,139
Václav Klaus,Nezařaz,Z,29,139
Zuzana Majerová Zahradníková,Nezařaz,A,29,139
Ivana Nevludová,Nezařaz,A,29,139
Lubomír Volný,Nezařaz,A,29,139
