Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,0,59,0,10,9,33,338
ODS,23,0,14,1,3,5,33,338
Piráti,22,0,0,0,21,1,33,338
SPD,19,0,0,0,15,4,33,338
ČSSD,15,3,0,1,2,9,33,338
KSČM,15,0,0,3,8,4,33,338
KDU-ČSL,10,5,0,0,0,5,33,338
TOP09,7,4,0,0,0,3,33,338
STAN,6,0,0,0,6,0,33,338
Nezařaz,5,0,1,0,1,3,33,338
Celkem,200,12,74,5,66,43,33,338
