Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,Z,26,149
Andrej Babiš,ANO,M,26,149
Andrea Babišová,ANO,M,26,149
Margita Balaštíková,ANO,M,26,149
Josef Bělica,ANO,Z,26,149
Stanislav Berkovec,ANO,Z,26,149
Jiří Bláha,ANO,Z,26,149
Richard Brabec,ANO,Z,26,149
Milan Brázdil,ANO,Z,26,149
Andrea Brzobohatá,ANO,N,26,149
Jaroslav Bžoch,ANO,Z,26,149
Monika Červíčková,ANO,Z,26,149
Klára Dostálová,ANO,Z,26,149
Lenka Dražilová,ANO,M,26,149
Jaroslav Faltýnek,ANO,Z,26,149
Kamal Farhan,ANO,Z,26,149
Milan Feranec,ANO,Z,26,149
Eva Fialová,ANO,Z,26,149
Stanislav Fridrich,ANO,Z,26,149
Josef Hájek,ANO,Z,26,149
Milan Hnilička,ANO,Z,26,149
Ivan Jáč,ANO,Z,26,149
Miloslav Janulík,ANO,N,26,149
Aleš Juchelka,ANO,Z,26,149
Pavel Juříček,ANO,Z,26,149
Adam Kalous,ANO,Z,26,149
David Kasal,ANO,Z,26,149
Tomáš Kohoutek,ANO,Z,26,149
Martin Kolovratník,ANO,0,26,149
Barbora Kořanová,ANO,N,26,149
Josef Kott,ANO,Z,26,149
Robert Králíček,ANO,Z,26,149
Roman Kubíček,ANO,Z,26,149
Jan Kubík,ANO,Z,26,149
Jaroslav Kytýr,ANO,Z,26,149
Taťána Malá,ANO,Z,26,149
Přemysl Mališ,ANO,Z,26,149
Jiří Mašek,ANO,Z,26,149
Eva Matyášová,ANO,Z,26,149
Radka Maxová,ANO,Z,26,149
Marcela Melková,ANO,Z,26,149
Jana Mračková Vildumetzová,ANO,Z,26,149
Patrik Nacher,ANO,A,26,149
Marek Novák,ANO,Z,26,149
Monika Oborná,ANO,Z,26,149
Ladislav Okleštěk,ANO,M,26,149
Zuzana Ožanová,ANO,Z,26,149
Jana Pastuchová,ANO,Z,26,149
František Petrtýl,ANO,Z,26,149
Pavel Plzák,ANO,Z,26,149
Milan Pour,ANO,Z,26,149
David Pražák,ANO,Z,26,149
Věra Procházková,ANO,Z,26,149
Pavel Pustějovský,ANO,Z,26,149
Karel Rais,ANO,Z,26,149
Michal Ratiborský,ANO,Z,26,149
Jan Richter,ANO,Z,26,149
Miloslava Rutová,ANO,Z,26,149
Pavel Růžička,ANO,Z,26,149
Jan Řehounek,ANO,N,26,149
Petr Sadovský,ANO,Z,26,149
Jan Schiller,ANO,Z,26,149
Pavel Staněk,ANO,Z,26,149
Jiří Strýček,ANO,Z,26,149
Karla Šlechtová,ANO,M,26,149
Julius Špičák,ANO,Z,26,149
David Štolpa,ANO,Z,26,149
Dan Ťok,ANO,Z,26,149
Karel Tureček,ANO,M,26,149
Helena Válková,ANO,N,26,149
Petr Venhoda,ANO,Z,26,149
Adam Vojtěch,ANO,Z,26,149
Jan Volný,ANO,Z,26,149
Radek Vondráček,ANO,Z,26,149
Ivo Vondrák,ANO,Z,26,149
Petr Vrána,ANO,Z,26,149
Rostislav Vyzula,ANO,Z,26,149
Radek Zlesák,ANO,Z,26,149
Ivan Adamec,ODS,N,26,149
Jan Bauer,ODS,N,26,149
Martin Baxa,ODS,N,26,149
Petr Beitl,ODS,N,26,149
Marek Benda,ODS,N,26,149
Stanislav Blaha,ODS,N,26,149
Pavel Blažek,ODS,N,26,149
Jana Černochová,ODS,N,26,149
Petr Fiala,ODS,N,26,149
Jakub Janda,ODS,N,26,149
Václav Klaus,ODS,N,26,149
Karel Krejza,ODS,N,26,149
Martin Kupka,ODS,N,26,149
Zuzana Majerová Zahradníková,ODS,N,26,149
Jaroslav Martinů,ODS,N,26,149
Ilona Mauritzová,ODS,N,26,149
Vojtěch Munzar,ODS,N,26,149
Miroslava Němcová,ODS,N,26,149
Jan Skopeček,ODS,M,26,149
Zbyněk Stanjura,ODS,N,26,149
Bohuslav Svoboda,ODS,N,26,149
Jiří Ventruba,ODS,N,26,149
Veronika Vrecionová,ODS,N,26,149
Jan Zahradník,ODS,N,26,149
Pavel Žáček,ODS,M,26,149
Dana Balcarová,Piráti,A,26,149
Lukáš Bartoň,Piráti,N,26,149
Ivan Bartoš,Piráti,N,26,149
Lukáš Černohorský,Piráti,N,26,149
