Name,Party,Vote,Mtg n.,Proposal n.
Věra Adámková,ANO,Z,28,200
Andrej Babiš,ANO,M,28,200
Andrea Babišová,ANO,N,28,200
Margita Balaštíková,ANO,N,28,200
Josef Bělica,ANO,N,28,200
Stanislav Berkovec,ANO,N,28,200
Jiří Bláha,ANO,N,28,200
Richard Brabec,ANO,N,28,200
Milan Brázdil,ANO,N,28,200
Andrea Brzobohatá,ANO,N,28,200
Jaroslav Bžoch,ANO,N,28,200
Monika Červíčková,ANO,Z,28,200
Klára Dostálová,ANO,M,28,200
Lenka Dražilová,ANO,N,28,200
Jaroslav Faltýnek,ANO,N,28,200
Kamal Farhan,ANO,N,28,200
Milan Feranec,ANO,N,28,200
Eva Fialová,ANO,N,28,200
Stanislav Fridrich,ANO,N,28,200
Josef Hájek,ANO,Z,28,200
Milan Hnilička,ANO,N,28,200
Ivan Jáč,ANO,N,28,200
Miloslav Janulík,ANO,N,28,200
Aleš Juchelka,ANO,N,28,200
Pavel Juříček,ANO,M,28,200
Iva Kalátová,ANO,N,28,200
Adam Kalous,ANO,N,28,200
David Kasal,ANO,N,28,200
Tomáš Kohoutek,ANO,N,28,200
Martin Kolovratník,ANO,Z,28,200
Barbora Kořanová,ANO,N,28,200
Josef Kott,ANO,N,28,200
Robert Králíček,ANO,N,28,200
Roman Kubíček,ANO,N,28,200
Jan Kubík,ANO,N,28,200
Jaroslav Kytýr,ANO,N,28,200
Taťána Malá,ANO,N,28,200
Přemysl Mališ,ANO,N,28,200
Jiří Mašek,ANO,N,28,200
Eva Matyášová,ANO,N,28,200
Radka Maxová,ANO,N,28,200
Marcela Melková,ANO,N,28,200
Jana Mračková Vildumetzová,ANO,N,28,200
Patrik Nacher,ANO,N,28,200
Marek Novák,ANO,N,28,200
Monika Oborná,ANO,N,28,200
Ladislav Okleštěk,ANO,N,28,200
Zuzana Ožanová,ANO,M,28,200
Jana Pastuchová,ANO,N,28,200
František Petrtýl,ANO,N,28,200
Pavel Plzák,ANO,N,28,200
Milan Pour,ANO,N,28,200
David Pražák,ANO,N,28,200
Věra Procházková,ANO,N,28,200
Pavel Pustějovský,ANO,M,28,200
Karel Rais,ANO,N,28,200
Michal Ratiborský,ANO,N,28,200
Jan Richter,ANO,N,28,200
Miloslava Rutová,ANO,N,28,200
Pavel Růžička,ANO,N,28,200
Jan Řehounek,ANO,N,28,200
Petr Sadovský,ANO,N,28,200
Jan Schiller,ANO,N,28,200
Pavel Staněk,ANO,Z,28,200
Jiří Strýček,ANO,N,28,200
Karla Šlechtová,ANO,N,28,200
Julius Špičák,ANO,N,28,200
David Štolpa,ANO,N,28,200
Karel Tureček,ANO,Z,28,200
Helena Válková,ANO,N,28,200
Petr Venhoda,ANO,N,28,200
Adam Vojtěch,ANO,N,28,200
Jan Volný,ANO,Z,28,200
Radek Vondráček,ANO,M,28,200
Ivo Vondrák,ANO,N,28,200
Petr Vrána,ANO,N,28,200
Rostislav Vyzula,ANO,N,28,200
Radek Zlesák,ANO,N,28,200
Ivan Adamec,ODS,A,28,200
Jan Bauer,ODS,M,28,200
Martin Baxa,ODS,A,28,200
Petr Beitl,ODS,A,28,200
Marek Benda,ODS,A,28,200
Stanislav Blaha,ODS,A,28,200
Pavel Blažek,ODS,A,28,200
Jana Černochová,ODS,A,28,200
Petr Fiala,ODS,A,28,200
Jakub Janda,ODS,A,28,200
Karel Krejza,ODS,A,28,200
Martin Kupka,ODS,A,28,200
Jaroslav Martinů,ODS,A,28,200
Ilona Mauritzová,ODS,A,28,200
Vojtěch Munzar,ODS,A,28,200
Miroslava Němcová,ODS,A,28,200
Jan Skopeček,ODS,A,28,200
Zbyněk Stanjura,ODS,A,28,200
Bohuslav Svoboda,ODS,A,28,200
Jiří Ventruba,ODS,A,28,200
Veronika Vrecionová,ODS,A,28,200
Jan Zahradník,ODS,A,28,200
Pavel Žáček,ODS,A,28,200
Dana Balcarová,Piráti,A,28,200
Lukáš Bartoň,Piráti,A,28,200
Ivan Bartoš,Piráti,A,28,200
Lukáš Černohorský,Piráti,A,28,200
František Elfmark,Piráti,Z,28,200
Mikuláš Ferjenčík,Piráti,A,28,200
Radek Holomčík,Piráti,A,28,200
Martin Jiránek,Piráti,A,28,200
Lukáš Kolářík,Piráti,A,28,200
František Kopřiva,Piráti,A,28,200
Lenka Kozlová,Piráti,A,28,200
Jan Lipavský,Piráti,A,28,200
Tomáš Martínek,Piráti,A,28,200
Jakub Michálek,Piráti,A,28,200
Mikuláš Peksa,Piráti,M,28,200
Vojtěch Pikal,Piráti,Z,28,200
Ondřej Polanský,Piráti,A,28,200
Jan Pošvář,Piráti,A,28,200
Ondřej Profant,Piráti,A,28,200
Olga Richterová,Piráti,A,28,200
Petr Třešňák,Piráti,A,28,200
Tomáš Vymazal,Piráti,A,28,200
Jaroslav Dvořák,SPD,A,28,200
Radim Fiala,SPD,M,28,200
Jaroslav Holík,SPD,A,28,200
Jan Hrnčíř,SPD,A,28,200
Tereza Hyťhová,SPD,A,28,200
Monika Jarošová,SPD,A,28,200
Pavel Jelínek,SPD,A,28,200
Jiří Kobza,SPD,M,28,200
Jiří Kohoutek,SPD,A,28,200
Radek Koten,SPD,M,28,200
Jana Levová,SPD,A,28,200
Karla Maříková,SPD,A,28,200
Tomio Okamura,SPD,M,28,200
Zdeněk Podal,SPD,A,28,200
Miloslav Rozner,SPD,A,28,200
Radek Rozvoral,SPD,A,28,200
Lucie Šafránková,SPD,A,28,200
Lubomír Španěl,SPD,A,28,200
Radovan Vích,SPD,A,28,200
Jiří Běhounek,ČSSD,M,28,200
Jan Birke,ČSSD,N,28,200
Petr Dolínek,ČSSD,Z,28,200
Jaroslav Foldyna,ČSSD,N,28,200
Alena Gajdůšková,ČSSD,N,28,200
Jan Hamáček,ČSSD,Z,28,200
Tomáš Hanzel,ČSSD,N,28,200
Jan Chvojka,ČSSD,N,28,200
Roman Onderka,ČSSD,Z,28,200
Roman Sklenák,ČSSD,N,28,200
Antonín Staněk,ČSSD,N,28,200
Kateřina Valachová,ČSSD,0,28,200
