Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,0,53,1,20,4,23,3
ODS,25,0,22,1,0,2,23,3
Piráti,22,0,11,0,9,2,23,3
SPD,22,20,0,1,0,1,23,3
ČSSD,15,2,0,0,12,1,23,3
KSČM,15,13,0,1,0,1,23,3
KDU-ČSL,10,0,7,0,0,3,23,3
TOP09,7,0,6,0,0,1,23,3
STAN,6,1,2,1,2,0,23,3
Celkem,200,36,101,5,43,15,23,3
