Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,0,0,28,39,11,61,36
ODS,23,0,0,14,9,0,61,36
Piráti,22,11,0,11,0,0,61,36
SPD,19,8,0,7,0,4,61,36
ČSSD,14,6,0,3,0,5,61,36
KSČM,15,7,0,7,1,0,61,36
KDU-ČSL,10,0,0,6,4,0,61,36
TOP09,7,0,0,3,3,1,61,36
STAN,6,0,0,3,3,0,61,36
Nezařaz,6,0,0,3,1,2,61,36
Celkem,200,32,0,85,60,23,61,36
