Name,Party,Vote,Mtg n.,Proposal n.
Věra Adámková,ANO,Z,18,64
Andrej Babiš,ANO,M,18,64
Andrea Babišová,ANO,0,18,64
Margita Balaštíková,ANO,M,18,64
Josef Bělica,ANO,M,18,64
Stanislav Berkovec,ANO,Z,18,64
Jiří Bláha,ANO,M,18,64
Richard Brabec,ANO,0,18,64
Milan Brázdil,ANO,Z,18,64
Andrea Brzobohatá,ANO,M,18,64
Jaroslav Bžoch,ANO,0,18,64
Monika Červíčková,ANO,0,18,64
Klára Dostálová,ANO,M,18,64
Lenka Dražilová,ANO,Z,18,64
Jaroslav Faltýnek,ANO,0,18,64
Kamal Farhan,ANO,Z,18,64
Milan Feranec,ANO,M,18,64
Eva Fialová,ANO,N,18,64
Stanislav Fridrich,ANO,Z,18,64
Josef Hájek,ANO,0,18,64
Milan Hnilička,ANO,N,18,64
Ivan Jáč,ANO,A,18,64
Miloslav Janulík,ANO,0,18,64
Aleš Juchelka,ANO,Z,18,64
Pavel Juříček,ANO,0,18,64
Adam Kalous,ANO,N,18,64
David Kasal,ANO,Z,18,64
Tomáš Kohoutek,ANO,0,18,64
Martin Kolovratník,ANO,M,18,64
Barbora Kořanová,ANO,N,18,64
Josef Kott,ANO,A,18,64
Robert Králíček,ANO,0,18,64
Roman Kubíček,ANO,0,18,64
Jan Kubík,ANO,A,18,64
Jaroslav Kytýr,ANO,Z,18,64
Taťána Malá,ANO,N,18,64
Přemysl Mališ,ANO,N,18,64
Jiří Mašek,ANO,Z,18,64
Eva Matyášová,ANO,0,18,64
Radka Maxová,ANO,M,18,64
Marcela Melková,ANO,Z,18,64
Jana Mračková Vildumetzová,ANO,M,18,64
Patrik Nacher,ANO,0,18,64
Marek Novák,ANO,0,18,64
Monika Oborná,ANO,N,18,64
Ladislav Okleštěk,ANO,M,18,64
Zuzana Ožanová,ANO,M,18,64
Jana Pastuchová,ANO,Z,18,64
František Petrtýl,ANO,Z,18,64
Pavel Plzák,ANO,A,18,64
Milan Pour,ANO,Z,18,64
David Pražák,ANO,N,18,64
Věra Procházková,ANO,M,18,64
Pavel Pustějovský,ANO,N,18,64
Karel Rais,ANO,M,18,64
Michal Ratiborský,ANO,0,18,64
Jan Richter,ANO,0,18,64
Miloslava Rutová,ANO,0,18,64
Pavel Růžička,ANO,Z,18,64
Jan Řehounek,ANO,M,18,64
Petr Sadovský,ANO,0,18,64
Jan Schiller,ANO,0,18,64
Pavel Staněk,ANO,M,18,64
Martin Stropnický,ANO,0,18,64
Jiří Strýček,ANO,Z,18,64
Karla Šlechtová,ANO,0,18,64
Julius Špičák,ANO,0,18,64
David Štolpa,ANO,M,18,64
Dan Ťok,ANO,M,18,64
Karel Tureček,ANO,M,18,64
Helena Válková,ANO,M,18,64
Adam Vojtěch,ANO,0,18,64
Jan Volný,ANO,Z,18,64
Radek Vondráček,ANO,0,18,64
Ivo Vondrák,ANO,M,18,64
Petr Vrána,ANO,Z,18,64
Rostislav Vyzula,ANO,M,18,64
Radek Zlesák,ANO,M,18,64
Ivan Adamec,ODS,M,18,64
Jan Bauer,ODS,0,18,64
Martin Baxa,ODS,M,18,64
Petr Beitl,ODS,0,18,64
Marek Benda,ODS,M,18,64
Stanislav Blaha,ODS,M,18,64
Pavel Blažek,ODS,0,18,64
Jana Černochová,ODS,M,18,64
Petr Fiala,ODS,0,18,64
Jakub Janda,ODS,A,18,64
Václav Klaus,ODS,0,18,64
Karel Krejza,ODS,0,18,64
Martin Kupka,ODS,0,18,64
Zuzana Majerová Zahradníková,ODS,0,18,64
Jaroslav Martinů,ODS,M,18,64
Ilona Mauritzová,ODS,M,18,64
Vojtěch Munzar,ODS,A,18,64
Miroslava Němcová,ODS,M,18,64
Jan Skopeček,ODS,0,18,64
Zbyněk Stanjura,ODS,A,18,64
Bohuslav Svoboda,ODS,A,18,64
Jiří Ventruba,ODS,A,18,64
Veronika Vrecionová,ODS,0,18,64
Jan Zahradník,ODS,A,18,64
Pavel Žáček,ODS,A,18,64
Dana Balcarová,Piráti,0,18,64
Lukáš Bartoň,Piráti,A,18,64
Ivan Bartoš,Piráti,M,18,64
Lukáš Černohorský,Piráti,A,18,64
František Elfmark,Piráti,M,18,64
Mikuláš Ferjenčík,Piráti,A,18,64
Radek Holomčík,Piráti,A,18,64
Martin Jiránek,Piráti,A,18,64
Lukáš Kolářík,Piráti,A,18,64
František Kopřiva,Piráti,A,18,64
Lenka Kozlová,Piráti,A,18,64
Jan Lipavský,Piráti,M,18,64
Tomáš Martínek,Piráti,A,18,64
Jakub Michálek,Piráti,A,18,64
Mikuláš Peksa,Piráti,A,18,64
