Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,0,37,0,2,39,43,233
ODS,23,12,0,0,0,11,43,233
Piráti,22,10,0,0,1,11,43,233
SPD,20,9,0,0,0,11,43,233
ČSSD,14,1,3,1,3,6,43,233
KSČM,15,0,3,0,5,7,43,233
KDU-ČSL,10,6,0,0,0,4,43,233
TOP09,7,3,0,0,0,4,43,233
STAN,6,3,0,0,0,3,43,233
Nezařaz,5,0,0,0,3,2,43,233
Celkem,200,44,43,1,14,98,43,233
