Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,0,64,0,11,3,28,655
ODS,23,21,0,0,2,0,28,655
Piráti,22,19,0,0,2,1,28,655
SPD,19,15,0,0,3,1,28,655
ČSSD,15,0,6,1,6,2,28,655
KSČM,15,0,11,0,4,0,28,655
KDU-ČSL,10,9,0,1,0,0,28,655
TOP09,7,4,0,1,0,2,28,655
STAN,6,5,0,0,1,0,28,655
Nezařaz,5,4,0,0,1,0,28,655
Celkem,200,77,81,3,30,9,28,655
