Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,0,12,15
Andrej Babiš,ANO,Z,12,15
Andrea Babišová,ANO,A,12,15
Margita Balaštíková,ANO,A,12,15
Josef Bělica,ANO,A,12,15
Stanislav Berkovec,ANO,A,12,15
Jiří Bláha,ANO,A,12,15
Richard Brabec,ANO,A,12,15
Milan Brázdil,ANO,A,12,15
Andrea Brzobohatá,ANO,A,12,15
Jaroslav Bžoch,ANO,Z,12,15
Klára Dostálová,ANO,A,12,15
Lenka Dražilová,ANO,A,12,15
Jaroslav Faltýnek,ANO,A,12,15
Kamal Farhan,ANO,A,12,15
Milan Feranec,ANO,A,12,15
Eva Fialová,ANO,A,12,15
Stanislav Fridrich,ANO,A,12,15
Josef Hájek,ANO,Z,12,15
Milan Hnilička,ANO,A,12,15
Ivan Jáč,ANO,A,12,15
Miloslav Janulík,ANO,A,12,15
Aleš Juchelka,ANO,A,12,15
Pavel Juříček,ANO,A,12,15
Adam Kalous,ANO,A,12,15
David Kasal,ANO,A,12,15
Tomáš Kohoutek,ANO,A,12,15
Martin Kolovratník,ANO,A,12,15
Barbora Kořanová,ANO,A,12,15
Josef Kott,ANO,A,12,15
Robert Králíček,ANO,A,12,15
Roman Kubíček,ANO,A,12,15
Jan Kubík,ANO,A,12,15
Jaroslav Kytýr,ANO,A,12,15
Taťána Malá,ANO,A,12,15
Přemysl Mališ,ANO,A,12,15
Jiří Mašek,ANO,A,12,15
Eva Matyášová,ANO,A,12,15
Radka Maxová,ANO,A,12,15
Marcela Melková,ANO,A,12,15
Jana Mračková Vildumetzová,ANO,A,12,15
Patrik Nacher,ANO,A,12,15
Marek Novák,ANO,A,12,15
Monika Oborná,ANO,A,12,15
Ladislav Okleštěk,ANO,A,12,15
Zuzana Ožanová,ANO,A,12,15
Jana Pastuchová,ANO,A,12,15
Robert Pelikán,ANO,0,12,15
František Petrtýl,ANO,A,12,15
Pavel Plzák,ANO,A,12,15
Milan Pour,ANO,A,12,15
David Pražák,ANO,A,12,15
Věra Procházková,ANO,A,12,15
Pavel Pustějovský,ANO,A,12,15
Karel Rais,ANO,A,12,15
Michal Ratiborský,ANO,Z,12,15
Jan Richter,ANO,A,12,15
Miloslava Rutová,ANO,A,12,15
Pavel Růžička,ANO,A,12,15
Jan Řehounek,ANO,A,12,15
Petr Sadovský,ANO,Z,12,15
Jan Schiller,ANO,A,12,15
Pavel Staněk,ANO,A,12,15
