Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,1,3,0,71,3,19,30
ODS,25,22,0,1,0,2,19,30
Piráti,22,22,0,0,0,0,19,30
SPD,22,21,0,1,0,0,19,30
ČSSD,15,2,0,1,11,1,19,30
KSČM,15,13,0,1,1,0,19,30
KDU-ČSL,10,5,0,0,5,0,19,30
TOP09,7,7,0,0,0,0,19,30
STAN,6,5,0,1,0,0,19,30
Celkem,200,98,3,5,88,6,19,30
