Name,Party,Vote,Mtg n.,Proposal n.
Věra Adámková,ANO,A,22,96
Andrej Babiš,ANO,A,22,96
Andrea Babišová,ANO,A,22,96
Margita Balaštíková,ANO,A,22,96
Josef Bělica,ANO,A,22,96
Stanislav Berkovec,ANO,A,22,96
Jiří Bláha,ANO,A,22,96
Richard Brabec,ANO,A,22,96
Milan Brázdil,ANO,A,22,96
Andrea Brzobohatá,ANO,Z,22,96
Jaroslav Bžoch,ANO,A,22,96
Monika Červíčková,ANO,A,22,96
Klára Dostálová,ANO,A,22,96
Lenka Dražilová,ANO,A,22,96
Jaroslav Faltýnek,ANO,A,22,96
Kamal Farhan,ANO,A,22,96
Milan Feranec,ANO,A,22,96
Eva Fialová,ANO,A,22,96
Stanislav Fridrich,ANO,A,22,96
Josef Hájek,ANO,A,22,96
Milan Hnilička,ANO,A,22,96
Ivan Jáč,ANO,A,22,96
Miloslav Janulík,ANO,A,22,96
Aleš Juchelka,ANO,A,22,96
Pavel Juříček,ANO,M,22,96
Adam Kalous,ANO,A,22,96
David Kasal,ANO,A,22,96
Tomáš Kohoutek,ANO,A,22,96
Martin Kolovratník,ANO,A,22,96
Barbora Kořanová,ANO,A,22,96
Josef Kott,ANO,A,22,96
Robert Králíček,ANO,A,22,96
Roman Kubíček,ANO,A,22,96
Jan Kubík,ANO,A,22,96
Jaroslav Kytýr,ANO,A,22,96
Taťána Malá,ANO,A,22,96
Přemysl Mališ,ANO,A,22,96
Jiří Mašek,ANO,A,22,96
Eva Matyášová,ANO,A,22,96
Radka Maxová,ANO,M,22,96
Marcela Melková,ANO,A,22,96
Jana Mračková Vildumetzová,ANO,A,22,96
Patrik Nacher,ANO,A,22,96
Marek Novák,ANO,A,22,96
Monika Oborná,ANO,A,22,96
Ladislav Okleštěk,ANO,A,22,96
Zuzana Ožanová,ANO,A,22,96
Jana Pastuchová,ANO,A,22,96
František Petrtýl,ANO,A,22,96
Pavel Plzák,ANO,M,22,96
Milan Pour,ANO,A,22,96
David Pražák,ANO,A,22,96
Věra Procházková,ANO,A,22,96
Pavel Pustějovský,ANO,M,22,96
Karel Rais,ANO,A,22,96
Michal Ratiborský,ANO,A,22,96
Jan Richter,ANO,M,22,96
Miloslava Rutová,ANO,A,22,96
Pavel Růžička,ANO,A,22,96
Jan Řehounek,ANO,A,22,96
Petr Sadovský,ANO,A,22,96
Jan Schiller,ANO,A,22,96
Pavel Staněk,ANO,M,22,96
Jiří Strýček,ANO,A,22,96
Karla Šlechtová,ANO,A,22,96
Julius Špičák,ANO,M,22,96
David Štolpa,ANO,A,22,96
Dan Ťok,ANO,A,22,96
Karel Tureček,ANO,A,22,96
Helena Válková,ANO,A,22,96
Petr Venhoda,ANO,A,22,96
Adam Vojtěch,ANO,M,22,96
Jan Volný,ANO,A,22,96
Radek Vondráček,ANO,A,22,96
Ivo Vondrák,ANO,A,22,96
Petr Vrána,ANO,A,22,96
Rostislav Vyzula,ANO,M,22,96
Radek Zlesák,ANO,A,22,96
Ivan Adamec,ODS,A,22,96
Jan Bauer,ODS,M,22,96
Martin Baxa,ODS,A,22,96
Petr Beitl,ODS,Z,22,96
Marek Benda,ODS,Z,22,96
Stanislav Blaha,ODS,A,22,96
Pavel Blažek,ODS,A,22,96
Jana Černochová,ODS,A,22,96
Petr Fiala,ODS,M,22,96
Jakub Janda,ODS,A,22,96
Václav Klaus,ODS,A,22,96
Karel Krejza,ODS,A,22,96
Martin Kupka,ODS,A,22,96
Zuzana Majerová Zahradníková,ODS,A,22,96
Jaroslav Martinů,ODS,A,22,96
Ilona Mauritzová,ODS,A,22,96
Vojtěch Munzar,ODS,A,22,96
Miroslava Němcová,ODS,M,22,96
Jan Skopeček,ODS,A,22,96
Zbyněk Stanjura,ODS,A,22,96
Bohuslav Svoboda,ODS,M,22,96
Jiří Ventruba,ODS,A,22,96
Veronika Vrecionová,ODS,M,22,96
Jan Zahradník,ODS,A,22,96
Pavel Žáček,ODS,A,22,96
Dana Balcarová,Piráti,A,22,96
Lukáš Bartoň,Piráti,A,22,96
Ivan Bartoš,Piráti,A,22,96
Lukáš Černohorský,Piráti,A,22,96
František Elfmark,Piráti,A,22,96
Mikuláš Ferjenčík,Piráti,A,22,96
Radek Holomčík,Piráti,A,22,96
Martin Jiránek,Piráti,A,22,96
Lukáš Kolářík,Piráti,A,22,96
František Kopřiva,Piráti,A,22,96
Lenka Kozlová,Piráti,A,22,96
Jan Lipavský,Piráti,A,22,96
Tomáš Martínek,Piráti,A,22,96
Jakub Michálek,Piráti,A,22,96
Mikuláš Peksa,Piráti,A,22,96
Vojtěch Pikal,Piráti,A,22,96
Ondřej Polanský,Piráti,A,22,96
Jan Pošvář,Piráti,M,22,96
Ondřej Profant,Piráti,A,22,96
Olga Richterová,Piráti,A,22,96
Petr Třešňák,Piráti,A,22,96
Tomáš Vymazal,Piráti,A,22,96
Marian Bojko,SPD,A,22,96
Jaroslav Dvořák,SPD,M,22,96
Radim Fiala,SPD,A,22,96
Jaroslav Holík,SPD,A,22,96
Jan Hrnčíř,SPD,A,22,96
Tereza Hyťhová,SPD,A,22,96
Monika Jarošová,SPD,A,22,96
Pavel Jelínek,SPD,A,22,96
Jiří Kobza,SPD,A,22,96
Jiří Kohoutek,SPD,A,22,96
Radek Koten,SPD,0,22,96
Jana Levová,SPD,A,22,96
Karla Maříková,SPD,M,22,96
Ivana Nevludová,SPD,A,22,96
Tomio Okamura,SPD,A,22,96
Zdeněk Podal,SPD,A,22,96
Miloslav Rozner,SPD,A,22,96
Radek Rozvoral,SPD,A,22,96
Lucie Šafránková,SPD,A,22,96
Lubomír Španěl,SPD,A,22,96
Radovan Vích,SPD,A,22,96
Lubomír Volný,SPD,0,22,96
Jiří Běhounek,ČSSD,A,22,96
Jan Birke,ČSSD,M,22,96
Petr Dolínek,ČSSD,A,22,96
Jaroslav Foldyna,ČSSD,A,22,96
Alena Gajdůšková,ČSSD,A,22,96
Jan Hamáček,ČSSD,A,22,96
Tomáš Hanzel,ČSSD,M,22,96
Milan Chovanec,ČSSD,A,22,96
Jan Chvojka,ČSSD,A,22,96
Roman Onderka,ČSSD,A,22,96
Roman Sklenák,ČSSD,A,22,96
Antonín Staněk,ČSSD,A,22,96
Kateřina Valachová,ČSSD,A,22,96
Ondřej Veselý,ČSSD,A,22,96
Lubomír Zaorálek,ČSSD,A,22,96
Hana Aulická Jírovcová,KSČM,A,22,96
Alexander Černý,KSČM,A,22,96
Jiří Dolejš,KSČM,A,22,96
Vojtěch Filip,KSČM,A,22,96
Miroslav Grebeníček,KSČM,A,22,96
Stanislav Grospič,KSČM,A,22,96
Pavel Kováčik,KSČM,A,22,96
Leo Luzar,KSČM,M,22,96
Květa Matušovská,KSČM,A,22,96
Zdeněk Ondráček,KSČM,M,22,96
Daniel Pawlas,KSČM,M,22,96
Marie Pěnčíková,KSČM,M,22,96
Ivo Pojezný,KSČM,A,22,96
Jiří Valenta,KSČM,A,22,96
Miloslava Vostrá,KSČM,A,22,96
Jan Bartošek,KDU-ČSL,M,22,96
Pavel Bělobrádek,KDU-ČSL,A,22,96
Ondřej Benešík,KDU-ČSL,M,22,96
Jan Čižinský,KDU-ČSL,A,22,96
Pavla Golasowská,KDU-ČSL,A,22,96
Stanislav Juránek,KDU-ČSL,A,22,96
Marian Jurečka,KDU-ČSL,M,22,96
Vít Kaňkovský,KDU-ČSL,A,22,96
Jiří Mihola,KDU-ČSL,A,22,96
Marek Výborný,KDU-ČSL,A,22,96
Dominik Feri,TOP09,M,22,96
Miroslav Kalousek,TOP09,A,22,96
Helena Langšádlová,TOP09,A,22,96
Markéta Pekarová Adamová,TOP09,A,22,96
Karel Schwarzenberg,TOP09,A,22,96
František Vácha,TOP09,M,22,96
Vlastimil Válek,TOP09,A,22,96
Jan Farský,STAN,A,22,96
Petr Gazdík,STAN,A,22,96
Věra Kovářová,STAN,A,22,96
Jana Krutáková,STAN,M,22,96
Petr Pávek,STAN,M,22,96
Vít Rakušan,STAN,A,22,96
