Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,0,66,0,6,6,29,86
ODS,23,20,0,1,0,2,29,86
Piráti,22,21,0,0,0,1,29,86
SPD,19,14,0,0,1,4,29,86
ČSSD,15,0,9,0,6,0,29,86
KSČM,15,0,10,0,4,1,29,86
KDU-ČSL,10,9,0,0,1,0,29,86
TOP09,7,6,0,0,0,1,29,86
STAN,6,5,0,0,0,1,29,86
Nezařaz,5,3,0,0,1,1,29,86
Celkem,200,78,85,1,19,17,29,86
