Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,N,29,364
Andrej Babiš,ANO,N,29,364
Andrea Babišová,ANO,Z,29,364
Margita Balaštíková,ANO,N,29,364
Josef Bělica,ANO,N,29,364
Stanislav Berkovec,ANO,N,29,364
Jiří Bláha,ANO,N,29,364
Richard Brabec,ANO,N,29,364
Milan Brázdil,ANO,N,29,364
Andrea Brzobohatá,ANO,N,29,364
Jaroslav Bžoch,ANO,N,29,364
Monika Červíčková,ANO,N,29,364
Klára Dostálová,ANO,M,29,364
Lenka Dražilová,ANO,N,29,364
Jaroslav Faltýnek,ANO,N,29,364
Kamal Farhan,ANO,N,29,364
Milan Feranec,ANO,N,29,364
Eva Fialová,ANO,N,29,364
Stanislav Fridrich,ANO,N,29,364
Josef Hájek,ANO,Z,29,364
Milan Hnilička,ANO,N,29,364
Ivan Jáč,ANO,N,29,364
Miloslav Janulík,ANO,N,29,364
Aleš Juchelka,ANO,N,29,364
Pavel Juříček,ANO,M,29,364
Iva Kalátová,ANO,M,29,364
Adam Kalous,ANO,N,29,364
David Kasal,ANO,N,29,364
Tomáš Kohoutek,ANO,N,29,364
Martin Kolovratník,ANO,Z,29,364
Barbora Kořanová,ANO,N,29,364
Josef Kott,ANO,Z,29,364
Robert Králíček,ANO,N,29,364
Roman Kubíček,ANO,Z,29,364
Jan Kubík,ANO,N,29,364
Jaroslav Kytýr,ANO,N,29,364
Taťána Malá,ANO,N,29,364
Přemysl Mališ,ANO,N,29,364
Jiří Mašek,ANO,N,29,364
Eva Matyášová,ANO,N,29,364
Radka Maxová,ANO,M,29,364
Marcela Melková,ANO,N,29,364
Jana Mračková Vildumetzová,ANO,N,29,364
Patrik Nacher,ANO,N,29,364
Marek Novák,ANO,N,29,364
Monika Oborná,ANO,N,29,364
Ladislav Okleštěk,ANO,N,29,364
Zuzana Ožanová,ANO,M,29,364
Jana Pastuchová,ANO,N,29,364
František Petrtýl,ANO,N,29,364
Pavel Plzák,ANO,N,29,364
Milan Pour,ANO,Z,29,364
David Pražák,ANO,N,29,364
Věra Procházková,ANO,N,29,364
Pavel Pustějovský,ANO,M,29,364
Karel Rais,ANO,N,29,364
Michal Ratiborský,ANO,N,29,364
Jan Richter,ANO,N,29,364
Miloslava Rutová,ANO,N,29,364
Pavel Růžička,ANO,N,29,364
Jan Řehounek,ANO,N,29,364
Petr Sadovský,ANO,N,29,364
Jan Schiller,ANO,N,29,364
Pavel Staněk,ANO,Z,29,364
Jiří Strýček,ANO,N,29,364
Karla Šlechtová,ANO,N,29,364
Julius Špičák,ANO,N,29,364
David Štolpa,ANO,N,29,364
Karel Tureček,ANO,N,29,364
Helena Válková,ANO,N,29,364
Petr Venhoda,ANO,Z,29,364
Adam Vojtěch,ANO,N,29,364
Jan Volný,ANO,N,29,364
Radek Vondráček,ANO,M,29,364
Ivo Vondrák,ANO,N,29,364
Petr Vrána,ANO,N,29,364
Rostislav Vyzula,ANO,M,29,364
Radek Zlesák,ANO,N,29,364
Ivan Adamec,ODS,A,29,364
Jan Bauer,ODS,M,29,364
Martin Baxa,ODS,A,29,364
Petr Beitl,ODS,A,29,364
Marek Benda,ODS,A,29,364
Stanislav Blaha,ODS,A,29,364
Pavel Blažek,ODS,A,29,364
Jana Černochová,ODS,A,29,364
Petr Fiala,ODS,A,29,364
Jakub Janda,ODS,A,29,364
Karel Krejza,ODS,A,29,364
Martin Kupka,ODS,A,29,364
Jaroslav Martinů,ODS,A,29,364
Ilona Mauritzová,ODS,A,29,364
Vojtěch Munzar,ODS,A,29,364
Miroslava Němcová,ODS,A,29,364
Jan Skopeček,ODS,A,29,364
Zbyněk Stanjura,ODS,A,29,364
Bohuslav Svoboda,ODS,A,29,364
Jiří Ventruba,ODS,A,29,364
Veronika Vrecionová,ODS,A,29,364
Jan Zahradník,ODS,A,29,364
Pavel Žáček,ODS,A,29,364
Dana Balcarová,Piráti,A,29,364
Lukáš Bartoň,Piráti,A,29,364
Ivan Bartoš,Piráti,A,29,364
Lukáš Černohorský,Piráti,A,29,364
František Elfmark,Piráti,A,29,364
Mikuláš Ferjenčík,Piráti,A,29,364
Radek Holomčík,Piráti,A,29,364
Martin Jiránek,Piráti,A,29,364
Lukáš Kolářík,Piráti,A,29,364
František Kopřiva,Piráti,A,29,364
Lenka Kozlová,Piráti,A,29,364
Jan Lipavský,Piráti,Z,29,364
Tomáš Martínek,Piráti,A,29,364
Jakub Michálek,Piráti,A,29,364
Mikuláš Peksa,Piráti,A,29,364
Vojtěch Pikal,Piráti,A,29,364
Ondřej Polanský,Piráti,A,29,364
Jan Pošvář,Piráti,A,29,364
Ondřej Profant,Piráti,A,29,364
Olga Richterová,Piráti,A,29,364
Petr Třešňák,Piráti,A,29,364
Tomáš Vymazal,Piráti,A,29,364
Jaroslav Dvořák,SPD,M,29,364
Radim Fiala,SPD,M,29,364
Jaroslav Holík,SPD,A,29,364
Jan Hrnčíř,SPD,Z,29,364
Tereza Hyťhová,SPD,A,29,364
Monika Jarošová,SPD,A,29,364
Pavel Jelínek,SPD,A,29,364
Jiří Kobza,SPD,A,29,364
Jiří Kohoutek,SPD,A,29,364
Radek Koten,SPD,A,29,364
Jana Levová,SPD,A,29,364
Karla Maříková,SPD,A,29,364
Tomio Okamura,SPD,A,29,364
Zdeněk Podal,SPD,A,29,364
Miloslav Rozner,SPD,A,29,364
Radek Rozvoral,SPD,A,29,364
Lucie Šafránková,SPD,A,29,364
Lubomír Španěl,SPD,A,29,364
Radovan Vích,SPD,A,29,364
Jiří Běhounek,ČSSD,N,29,364
Jan Birke,ČSSD,M,29,364
Petr Dolínek,ČSSD,N,29,364
Jaroslav Foldyna,ČSSD,N,29,364
Alena Gajdůšková,ČSSD,N,29,364
Jan Hamáček,ČSSD,Z,29,364
Tomáš Hanzel,ČSSD,Z,29,364
Jan Chvojka,ČSSD,N,29,364
Roman Onderka,ČSSD,M,29,364
Roman Sklenák,ČSSD,N,29,364
Antonín Staněk,ČSSD,N,29,364
Kateřina Valachová,ČSSD,N,29,364
Ondřej Veselý,ČSSD,Z,29,364
Václav Votava,ČSSD,N,29,364
Lubomír Zaorálek,ČSSD,A,29,364
Hana Aulická Jírovcová,KSČM,N,29,364
Alexander Černý,KSČM,N,29,364
Jiří Dolejš,KSČM,Z,29,364
Vojtěch Filip,KSČM,N,29,364
Miroslav Grebeníček,KSČM,N,29,364
Stanislav Grospič,KSČM,M,29,364
Pavel Kováčik,KSČM,N,29,364
Leo Luzar,KSČM,M,29,364
Květa Matušovská,KSČM,N,29,364
Zdeněk Ondráček,KSČM,N,29,364
Daniel Pawlas,KSČM,N,29,364
Marie Pěnčíková,KSČM,N,29,364
Ivo Pojezný,KSČM,N,29,364
Jiří Valenta,KSČM,N,29,364
Miloslava Vostrá,KSČM,N,29,364
Jan Bartošek,KDU-ČSL,M,29,364
Pavel Bělobrádek,KDU-ČSL,A,29,364
Ondřej Benešík,KDU-ČSL,A,29,364
Jan Čižinský,KDU-ČSL,A,29,364
Pavla Golasowská,KDU-ČSL,A,29,364
Stanislav Juránek,KDU-ČSL,A,29,364
Marian Jurečka,KDU-ČSL,A,29,364
Vít Kaňkovský,KDU-ČSL,A,29,364
Jiří Mihola,KDU-ČSL,A,29,364
Marek Výborný,KDU-ČSL,A,29,364
Dominik Feri,TOP09,A,29,364
Miroslav Kalousek,TOP09,Z,29,364
Helena Langšádlová,TOP09,A,29,364
Markéta Pekarová Adamová,TOP09,A,29,364
Karel Schwarzenberg,TOP09,M,29,364
František Vácha,TOP09,A,29,364
Vlastimil Válek,TOP09,A,29,364
Jan Farský,STAN,M,29,364
Petr Gazdík,STAN,A,29,364
Věra Kovářová,STAN,A,29,364
Jana Krutáková,STAN,A,29,364
Petr Pávek,STAN,M,29,364
Vít Rakušan,STAN,A,29,364
Marian Bojko,Nezařaz,M,29,364
Václav Klaus,Nezařaz,A,29,364
Zuzana Majerová Zahradníková,Nezařaz,A,29,364
Ivana Nevludová,Nezařaz,A,29,364
