Party,N. repr.,A,N,0,Z,M,Meeting,Proposal
ANO,78,0,7,0,64,7,27,16
ODS,24,18,0,0,4,2,27,16
Piráti,22,20,0,0,0,2,27,16
SPD,19,0,17,0,1,1,27,16
ČSSD,15,10,0,1,3,1,27,16
KSČM,15,1,1,1,11,1,27,16
KDU-ČSL,10,10,0,0,0,0,27,16
TOP09,7,5,0,0,1,1,27,16
STAN,6,4,0,0,1,1,27,16
Nezařaz,4,0,3,0,1,0,27,16
Celkem,200,68,28,2,86,16,27,16
