Name,Party,Vote,Meeting,Proposal
Věra Adámková,ANO,A,38,75
Andrej Babiš,ANO,0,38,75
Andrea Babišová,ANO,A,38,75
Ondřej Babka,ANO,A,38,75
Margita Balaštíková,ANO,A,38,75
Josef Bělica,ANO,A,38,75
Stanislav Berkovec,ANO,A,38,75
Jiří Bláha,ANO,M,38,75
Richard Brabec,ANO,A,38,75
Milan Brázdil,ANO,M,38,75
Andrea Brzobohatá,ANO,M,38,75
Jaroslav Bžoch,ANO,A,38,75
Monika Červíčková,ANO,A,38,75
Klára Dostálová,ANO,M,38,75
Lenka Dražilová,ANO,A,38,75
Jaroslav Faltýnek,ANO,A,38,75
Kamal Farhan,ANO,A,38,75
Milan Feranec,ANO,A,38,75
Eva Fialová,ANO,A,38,75
Stanislav Fridrich,ANO,A,38,75
Josef Hájek,ANO,A,38,75
Milan Hnilička,ANO,A,38,75
Ivan Jáč,ANO,A,38,75
Miloslav Janulík,ANO,A,38,75
Aleš Juchelka,ANO,A,38,75
Pavel Juříček,ANO,M,38,75
Iva Kalátová,ANO,A,38,75
Adam Kalous,ANO,A,38,75
David Kasal,ANO,A,38,75
Tomáš Kohoutek,ANO,A,38,75
Martin Kolovratník,ANO,A,38,75
Barbora Kořanová,ANO,A,38,75
Josef Kott,ANO,M,38,75
Robert Králíček,ANO,A,38,75
Roman Kubíček,ANO,A,38,75
Jan Kubík,ANO,M,38,75
Jaroslav Kytýr,ANO,A,38,75
Taťána Malá,ANO,A,38,75
Přemysl Mališ,ANO,A,38,75
Jiří Mašek,ANO,M,38,75
Eva Matyášová,ANO,M,38,75
Marcela Melková,ANO,A,38,75
Jana Mračková Vildumetzová,ANO,A,38,75
Patrik Nacher,ANO,A,38,75
Marek Novák,ANO,Z,38,75
Monika Oborná,ANO,A,38,75
Ladislav Okleštěk,ANO,M,38,75
Zuzana Ožanová,ANO,A,38,75
Jana Pastuchová,ANO,A,38,75
František Petrtýl,ANO,A,38,75
Pavel Plzák,ANO,A,38,75
Milan Pour,ANO,A,38,75
David Pražák,ANO,M,38,75
Věra Procházková,ANO,A,38,75
Pavel Pustějovský,ANO,A,38,75
Karel Rais,ANO,A,38,75
Michal Ratiborský,ANO,A,38,75
Jan Richter,ANO,M,38,75
Miloslava Rutová,ANO,A,38,75
Pavel Růžička,ANO,A,38,75
Jan Řehounek,ANO,A,38,75
Petr Sadovský,ANO,A,38,75
Jan Schiller,ANO,A,38,75
Pavel Staněk,ANO,M,38,75
Jiří Strýček,ANO,A,38,75
Karla Šlechtová,ANO,A,38,75
Julius Špičák,ANO,M,38,75
David Štolpa,ANO,A,38,75
Karel Tureček,ANO,A,38,75
Helena Válková,ANO,M,38,75
Petr Venhoda,ANO,0,38,75
Adam Vojtěch,ANO,A,38,75
Jan Volný,ANO,M,38,75
Radek Vondráček,ANO,0,38,75
Ivo Vondrák,ANO,A,38,75
Petr Vrána,ANO,M,38,75
Rostislav Vyzula,ANO,A,38,75
Radek Zlesák,ANO,A,38,75
Ivan Adamec,ODS,A,38,75
Jan Bauer,ODS,0,38,75
Martin Baxa,ODS,Z,38,75
Petr Beitl,ODS,A,38,75
Marek Benda,ODS,M,38,75
Petr Bendl,ODS,A,38,75
Stanislav Blaha,ODS,0,38,75
Pavel Blažek,ODS,0,38,75
Jana Černochová,ODS,M,38,75
Petr Fiala,ODS,Z,38,75
Jakub Janda,ODS,A,38,75
Karel Krejza,ODS,A,38,75
Martin Kupka,ODS,A,38,75
Jaroslav Martinů,ODS,M,38,75
Ilona Mauritzová,ODS,0,38,75
Vojtěch Munzar,ODS,A,38,75
Miroslava Němcová,ODS,A,38,75
Jan Skopeček,ODS,M,38,75
Zbyněk Stanjura,ODS,M,38,75
Bohuslav Svoboda,ODS,0,38,75
Jiří Ventruba,ODS,A,38,75
Jan Zahradník,ODS,A,38,75
Pavel Žáček,ODS,0,38,75
Dana Balcarová,Piráti,A,38,75
Lukáš Bartoň,Piráti,A,38,75
Ivan Bartoš,Piráti,Z,38,75
Lukáš Černohorský,Piráti,A,38,75
František Elfmark,Piráti,A,38,75
Mikuláš Ferjenčík,Piráti,A,38,75
Radek Holomčík,Piráti,A,38,75
Martin Jiránek,Piráti,M,38,75
